sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,slope,intercept,train_n,train_block_n
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-00,landsat,2022,2025,W2022,1.234011785480525,-0.2672896316576667,17709,39
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-00,landsat,2023,2025,W2023,1.1551313734412114,-0.22569733189890084,18637,39
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-00,landsat,2024,2025,W2024,1.157629710242255,-0.2496712152563645,19655,39
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,1.1744376129279617,-0.23415527057490104,36346,39
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,1.1554035529611224,-0.23732678673065022,38292,39
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,1.140900812381579,-0.22147782056941345,56001,39
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-01,landsat,2022,2025,W2022,0.03685887434462647,-0.0019576705917517686,16076,35
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-01,landsat,2023,2025,W2023,0.06196881477773171,-0.003217036338052651,18809,35
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-01,landsat,2024,2025,W2024,0.06759827978355502,-0.0035355563855799027,16065,35
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,0.048851118218087936,-0.002562911615528796,34885,35
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,0.06461020056181882,-0.0033663357615053894,34874,35
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,0.05457086598009377,-0.0028625078863545373,50950,35
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-02,landsat,2022,2025,W2022,0.9601105892816926,-0.11236559044611816,12670,36
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-02,landsat,2023,2025,W2023,1.0615186077406784,-0.19639704221432885,1479,13
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-02,landsat,2024,2025,W2024,0.9578370241311646,-0.13491623107985884,548,20
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,0.9991848616967812,-0.14241237920595784,7098,12
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,1.0020358163861494,-0.15827220752173676,1422,8
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,0.9829391982194108,-0.15267479238197879,3804,7
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-03,landsat,2022,2025,W2022,0.7996352618654928,-0.0622864808193799,14794,35
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-03,landsat,2023,2025,W2023,0.8119808090705377,-0.05684925916875355,5295,35
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-03,landsat,2024,2025,W2024,0.8201259478074142,-0.06110600271239597,13404,35
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,0.8050089821517297,-0.06135639872818538,20089,35
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,0.8170850447274336,-0.05969029023725886,18699,35
landsat_sr_qa_aerosol,strict_aerosol,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,0.8124653616281913,-0.06155013233722362,33493,35
