sensitivity,variant,experiment,AOI,sensor,train_years,target_year,window,slope,intercept,train_n,train_block_n
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022,2025,W2022,0.9233974785925133,-0.04986502513317981,17709,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023,2025,W2023,0.850481043802384,0.003785407631965887,18637,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2024,2025,W2024,0.8223467828968528,-0.0016912430732847206,19655,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023,2025,W2022_2023,0.892584621795025,-0.026932529565862895,36346,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2023;2024,2025,W2023_2024,0.8340939506910341,0.0022020759879589624,38292,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-00,landsat,2022;2023;2024,2025,W2022_2024,0.8597817812378615,-0.013165209553546275,56001,39
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022,2025,W2022,0.08607197904848761,-0.004652697939395059,16076,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2023,2025,W2023,0.11426048760810575,-0.005991003398268915,18809,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2024,2025,W2024,0.09380331891262625,-0.004890984524567946,16065,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022;2023,2025,W2022_2023,0.10057196499714119,-0.005347410819013176,34885,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2023;2024,2025,W2023_2024,0.10549150242103093,-0.005519675267444669,34874,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-01,landsat,2022;2023;2024,2025,W2022_2024,0.09843572653281445,-0.005202288698277165,50950,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2022,2025,W2022,0.9783008115989629,-0.07882532043957446,12670,36
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2023,2025,W2023,1.0106724497839938,-0.09681417165892414,1479,13
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2024,2025,W2024,0.9969565221035065,-0.09611114233032103,548,20
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2022;2023,2025,W2022_2023,0.9691566523509831,-0.07201834717216116,7098,12
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2023;2024,2025,W2023_2024,0.9682952852430616,-0.07622359532236456,1422,8
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-02,landsat,2022;2023;2024,2025,W2022_2024,0.9443190490535056,-0.06501587701048728,3804,7
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2022,2025,W2022,0.8866016814832388,-0.07863128988884222,14794,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2023,2025,W2023,0.915087535165617,-0.07312232637897065,5295,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2024,2025,W2024,0.8880750761348587,-0.07251833831253535,13404,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2022;2023,2025,W2022_2023,0.897152526113197,-0.07789094689018508,20089,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2023;2024,2025,W2023_2024,0.8953296998186476,-0.07266909899899202,18699,35
landsat_sr_qa_aerosol,primary_matched,multi_aoi,AOI-03,landsat,2022;2023;2024,2025,W2022_2024,0.8943720911634108,-0.07598832426810107,33493,35
